Namespace(bs=48, fold=2, gpu=5, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 2 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | 0.2319 | -0.1974 | 0.7081 , -0.4269, -0.3796, 0.5678 ,-0.6211,-0.9029,-0.6842,-0.7234 | -0.3078 |  0 hr 04 min 
  1  * | -0.2808 | -0.1797 | 0.9874 , -0.5697, -0.6048, 0.4868 ,-0.7651,-1.0893,-0.7901,-0.8557 | -0.4001 |  0 hr 08 min 
  2  * | -0.4592 | -0.5419 | 0.2005 , -0.6768, -0.6899, 0.0721 ,-0.8991,-1.1571,-0.5980,-0.9757 | -0.5905 |  0 hr 13 min 
  3  * | -0.6040 | -0.6694 | 0.1260 , -0.8211, -0.7783, 0.0628 ,-1.0272,-1.2963,-1.0574,-1.1224 | -0.7392 |  0 hr 17 min 
  4  * | -0.7114 | -0.6671 | 0.2601 , -0.8923, -0.8525, -0.1146,-1.0555,-1.3651,-1.1211,-1.1197 | -0.7826 |  0 hr 22 min 
  5  * | -0.7886 | -0.8590 | -0.2155, -0.9386, -0.9029, 0.0138 ,-1.1969,-1.4440,-1.1075,-1.2347 | -0.8783 |  0 hr 26 min 
  6  * | -0.8457 | -0.8868 | -0.2024, -0.9916, -0.9274, -0.1762,-1.1974,-1.4838,-1.2389,-1.2642 | -0.9352 |  0 hr 31 min 
  7  * | -0.8961 | -0.9162 | -0.2762, -0.9853, -0.9475, -0.1132,-1.2560,-1.5292,-1.1723,-1.3308 | -0.9513 |  0 hr 35 min 
  8  * | -0.9339 | -0.9444 | -0.2526, -1.0390, -0.9863, -0.2235,-1.2793,-1.5262,-1.2444,-1.3298 | -0.9851 |  0 hr 40 min 
  9  * | -0.9709 | -0.9105 | -0.2409, -0.9872, -0.9583, -0.3199,-1.3190,-1.5608,-1.1773,-1.3492 | -0.9891 |  0 hr 44 min 
 10  * | -1.0012 | -1.0032 | -0.3794, -1.0745, -1.0060, -0.3811,-1.3261,-1.6144,-1.2870,-1.3978 | -1.0583 |  0 hr 48 min 
 11   | -1.0270 | -0.9833 | -0.2533, -1.1033, -1.0365, -0.3594,-1.3385,-1.6255,-1.3003,-1.4017 | -1.0523 |  0 hr 53 min 
 12  * | -1.0507 | -1.0190 | -0.3821, -1.0393, -1.0615, -0.3102,-1.3932,-1.6420,-1.3390,-1.4064 | -1.0717 |  0 hr 57 min 
 13  * | -1.0751 | -1.0421 | -0.3894, -1.1297, -1.0518, -0.3925,-1.3929,-1.6432,-1.3615,-1.4103 | -1.0964 |  1 hr 02 min 
 14  * | -1.0949 | -1.0771 | -0.4308, -1.1552, -1.0872, -0.4603,-1.4146,-1.6462,-1.3643,-1.4453 | -1.1255 |  1 hr 06 min 
 15   | -1.1105 | -1.0334 | -0.3727, -1.1070, -1.0606, -0.3834,-1.4117,-1.6085,-1.4122,-1.3844 | -1.0926 |  1 hr 11 min 
 16  * | -1.1306 | -1.1037 | -0.4634, -1.1859, -1.1101, -0.5057,-1.3926,-1.7011,-1.3432,-1.4780 | -1.1475 |  1 hr 15 min 
 17   | -1.1456 | -1.0375 | -0.2850, -1.1658, -1.1072, -0.5214,-1.4524,-1.7223,-1.2709,-1.4671 | -1.1240 |  1 hr 19 min 
 18  * | -1.1604 | -1.0980 | -0.4208, -1.1583, -1.1284, -0.4800,-1.4657,-1.6939,-1.4514,-1.5076 | -1.1633 |  1 hr 24 min 
 19  * | -1.1744 | -1.0902 | -0.4004, -1.1650, -1.1248, -0.5448,-1.4170,-1.7400,-1.4062,-1.5099 | -1.1635 |  1 hr 28 min 
 20  * | -1.1850 | -1.1372 | -0.4906, -1.2113, -1.1389, -0.5103,-1.4699,-1.7209,-1.4554,-1.5142 | -1.1889 |  1 hr 33 min 
 21  * | -1.1978 | -1.1579 | -0.5144, -1.2317, -1.1612, -0.5411,-1.4877,-1.7219,-1.4719,-1.5179 | -1.2060 |  1 hr 37 min 
 22  * | -1.2103 | -1.1547 | -0.4951, -1.2192, -1.1661, -0.5427,-1.4738,-1.7524,-1.4811,-1.5521 | -1.2103 |  1 hr 42 min 
 23   | -1.2221 | -1.1570 | -0.5099, -1.2475, -1.1605, -0.2427,-1.5224,-1.7296,-1.4766,-1.5413 | -1.1788 |  1 hr 46 min 
 24   | -1.2320 | -1.1520 | -0.4993, -1.2418, -1.1660, -0.4586,-1.5167,-1.7128,-1.4465,-1.4595 | -1.1876 |  1 hr 51 min 
 25  * | -1.2435 | -1.1712 | -0.5282, -1.2478, -1.1687, -0.4963,-1.5231,-1.7453,-1.5095,-1.5012 | -1.2150 |  1 hr 55 min 
 26   | -1.2526 | -1.1722 | -0.5185, -1.2254, -1.1887, -0.4720,-1.4640,-1.7745,-1.5058,-1.5471 | -1.2120 |  2 hr 00 min 
 27  * | -1.2611 | -1.1639 | -0.4781, -1.2424, -1.1837, -0.5469,-1.4870,-1.7817,-1.5041,-1.5859 | -1.2262 |  2 hr 04 min 
 28   | -1.2682 | -1.1737 | -0.5062, -1.2593, -1.1888, -0.5612,-1.4437,-1.7541,-1.5287,-1.4902 | -1.2165 |  2 hr 09 min 
 29  * | -1.2800 | -1.1649 | -0.4674, -1.2502, -1.1964, -0.5947,-1.5356,-1.7528,-1.4964,-1.5814 | -1.2344 |  2 hr 13 min 
 30  * | -1.2842 | -1.2058 | -0.5493, -1.2516, -1.2135, -0.6275,-1.4771,-1.8228,-1.5527,-1.6040 | -1.2623 |  2 hr 18 min 
 31  * | -1.2953 | -1.2242 | -0.5664, -1.2864, -1.2238, -0.6106,-1.5519,-1.7933,-1.5551,-1.6138 | -1.2752 |  2 hr 22 min 
 32   | -1.3022 | -1.2127 | -0.5286, -1.3020, -1.2176, -0.6164,-1.5605,-1.8006,-1.5509,-1.6221 | -1.2748 |  2 hr 27 min 
 33  * | -1.3098 | -1.2049 | -0.5103, -1.3008, -1.2103, -0.6819,-1.5979,-1.8368,-1.5564,-1.6008 | -1.2869 |  2 hr 31 min 
 34  * | -1.3176 | -1.2229 | -0.5442, -1.2956, -1.2310, -0.6926,-1.5704,-1.8034,-1.5748,-1.5922 | -1.2880 |  2 hr 35 min 
 35   | -1.3255 | -1.2031 | -0.5244, -1.3194, -1.2064, -0.6506,-1.5669,-1.8206,-1.5582,-1.4836 | -1.2663 |  2 hr 40 min 
 36  * | -1.3280 | -1.2320 | -0.5713, -1.3013, -1.2359, -0.6351,-1.5677,-1.8254,-1.5777,-1.6041 | -1.2898 |  2 hr 44 min 
 37   | -1.3388 | -1.2329 | -0.5502, -1.2988, -1.2533, -0.6075,-1.5739,-1.8234,-1.5517,-1.6427 | -1.2877 |  2 hr 49 min 
 38   | -1.3447 | -1.2307 | -0.5748, -1.3200, -1.2466, -0.5307,-1.5528,-1.8292,-1.4339,-1.5673 | -1.2569 |  2 hr 53 min 
 39   | -1.3504 | -1.2381 | -0.5833, -1.3132, -1.2450, -0.3930,-1.5859,-1.8495,-1.5390,-1.6363 | -1.2682 |  2 hr 58 min 
 40  * | -1.3549 | -1.2402 | -0.5688, -1.3006, -1.2482, -0.6897,-1.5447,-1.8371,-1.5960,-1.6005 | -1.2982 |  3 hr 02 min 
 41  * | -1.3601 | -1.2553 | -0.5876, -1.3310, -1.2498, -0.6851,-1.5759,-1.8510,-1.6334,-1.6338 | -1.3185 |  3 hr 07 min 
 42   | -1.3643 | -1.2419 | -0.5807, -1.3258, -1.2183, -0.6532,-1.6053,-1.8410,-1.5920,-1.6539 | -1.3088 |  3 hr 11 min 
 43  * | -1.3729 | -1.2623 | -0.6014, -1.3407, -1.2495, -0.6886,-1.5939,-1.8487,-1.5962,-1.6565 | -1.3219 |  3 hr 16 min 
 44   | -1.3773 | -1.2379 | -0.6232, -1.3322, -1.1937, -0.5990,-1.5762,-1.8530,-1.5614,-1.6089 | -1.2935 |  3 hr 20 min 
 45  * | -1.3818 | -1.2745 | -0.6080, -1.3532, -1.2772, -0.6651,-1.6136,-1.8582,-1.5519,-1.6688 | -1.3245 |  3 hr 25 min 
 46   | -1.3852 | -1.2619 | -0.5739, -1.3482, -1.2722, -0.7048,-1.6228,-1.8329,-1.5904,-1.6357 | -1.3226 |  3 hr 29 min 
 47  * | -1.3921 | -1.2694 | -0.5987, -1.3652, -1.2618, -0.7205,-1.6138,-1.8787,-1.5233,-1.6706 | -1.3291 |  3 hr 34 min 
 48  * | -1.3971 | -1.2612 | -0.5490, -1.3683, -1.2742, -0.7299,-1.6163,-1.8683,-1.6156,-1.6135 | -1.3294 |  3 hr 38 min 
 49   | -1.4011 | -1.2569 | -0.6257, -1.3389, -1.2598, -0.6060,-1.5148,-1.8418,-1.4310,-1.6453 | -1.2829 |  3 hr 43 min 
 50   | -1.4064 | -1.2769 | -0.6068, -1.3592, -1.2733, -0.5793,-1.6433,-1.8753,-1.6279,-1.6682 | -1.3292 |  3 hr 47 min 
 51  * | -1.4087 | -1.2924 | -0.6198, -1.3644, -1.2841, -0.7301,-1.6202,-1.8602,-1.6788,-1.6496 | -1.3509 |  3 hr 51 min 
 52   | -1.4147 | -1.2579 | -0.5757, -1.3554, -1.2614, -0.6746,-1.5957,-1.8420,-1.6098,-1.6400 | -1.3193 |  3 hr 56 min 
 53   | -1.4201 | -1.2387 | -0.5067, -1.3505, -1.2690, -0.6498,-1.6363,-1.8627,-1.6086,-1.6285 | -1.3140 |  4 hr 00 min 
 54   | -1.4238 | -1.2843 | -0.6479, -1.3668, -1.2606, -0.7184,-1.6146,-1.8714,-1.6436,-1.5839 | -1.3384 |  4 hr 05 min 
 55   | -1.4254 | -1.2938 | -0.6296, -1.3810, -1.2876, -0.4730,-1.6347,-1.8725,-1.6531,-1.6280 | -1.3200 |  4 hr 09 min 
 56  * | -1.4324 | -1.3028 | -0.6287, -1.3830, -1.2929, -0.6749,-1.6403,-1.8788,-1.6784,-1.6702 | -1.3559 |  4 hr 14 min 
 57   | -1.4345 | -1.2790 | -0.5843, -1.3724, -1.2829, -0.6867,-1.6406,-1.8844,-1.6633,-1.6380 | -1.3441 |  4 hr 18 min 
 58   | -1.4361 | -1.2887 | -0.6644, -1.3784, -1.2461, -0.7473,-1.6488,-1.8431,-1.6461,-1.6244 | -1.3498 |  4 hr 23 min 
 59  * | -1.4411 | -1.2786 | -0.5616, -1.3568, -1.2922, -0.7295,-1.6539,-1.8869,-1.6887,-1.6839 | -1.3567 |  4 hr 27 min 
 60  * | -1.4461 | -1.3161 | -0.6737, -1.3956, -1.2995, -0.7711,-1.6536,-1.8874,-1.5930,-1.6507 | -1.3656 |  4 hr 31 min 
 61   | -1.4502 | -1.2900 | -0.5933, -1.3402, -1.3069, -0.7733,-1.6270,-1.8798,-1.6743,-1.7023 | -1.3621 |  4 hr 36 min 
 62   | -1.4419 | -1.3072 | -0.6652, -1.3789, -1.2901, -0.5012,-1.6588,-1.8485,-1.6594,-1.6756 | -1.3347 |  4 hr 40 min 
 63  * | -1.4559 | -1.3158 | -0.6476, -1.3993, -1.2983, -0.7710,-1.6531,-1.8880,-1.7027,-1.6992 | -1.3824 |  4 hr 45 min 
 64   | -1.4606 | -1.3179 | -0.6533, -1.4108, -1.2926, -0.8087,-1.6315,-1.8888,-1.7002,-1.6464 | -1.3791 |  4 hr 49 min 
 65   | -1.4660 | -1.3091 | -0.6378, -1.4050, -1.2973, -0.7369,-1.6115,-1.8662,-1.6360,-1.7013 | -1.3615 |  4 hr 54 min 
 66   | -1.4667 | -1.3163 | -0.6500, -1.3919, -1.3166, -0.8138,-1.6496,-1.8462,-1.5591,-1.7213 | -1.3686 |  4 hr 58 min 
 67   | -1.4704 | -1.3104 | -0.6332, -1.3911, -1.3072, -0.7506,-1.6606,-1.8992,-1.7133,-1.6517 | -1.3759 |  5 hr 03 min 
 68   | -1.4731 | -1.3126 | -0.6060, -1.3992, -1.3251, -0.7043,-1.6564,-1.9043,-1.6534,-1.7191 | -1.3710 |  5 hr 07 min 
 69   | -1.4781 | -1.3132 | -0.6577, -1.3817, -1.3144, -0.6829,-1.6661,-1.8945,-1.6164,-1.6747 | -1.3611 |  5 hr 12 min 
 70   | -1.4805 | -1.2903 | -0.6257, -1.3768, -1.2705, -0.7632,-1.6375,-1.8827,-1.6993,-1.6321 | -1.3610 |  5 hr 16 min 
 71  * | -1.4815 | -1.3351 | -0.6975, -1.3993, -1.2981, -0.8659,-1.6760,-1.9075,-1.7080,-1.6997 | -1.4065 |  5 hr 21 min 
 72   | -1.4842 | -1.3213 | -0.6242, -1.4197, -1.3150, -0.7996,-1.6657,-1.8957,-1.6605,-1.7345 | -1.3894 |  5 hr 25 min 
 73  * | -1.4870 | -1.3447 | -0.6751, -1.4019, -1.3347, -0.8272,-1.6598,-1.9178,-1.7325,-1.7232 | -1.4090 |  5 hr 29 min 
 74   | -1.4918 | -1.3268 | -0.6575, -1.4153, -1.3219, -0.8279,-1.6256,-1.9111,-1.5744,-1.7199 | -1.3817 |  5 hr 34 min 
 75   | -1.4922 | -1.3436 | -0.6863, -1.4131, -1.3228, -0.8261,-1.6916,-1.9276,-1.6710,-1.7231 | -1.4077 |  5 hr 38 min 
 76   | -1.4975 | -1.3086 | -0.6785, -1.3474, -1.3074, -0.8115,-1.6386,-1.9009,-1.5974,-1.6624 | -1.3680 |  5 hr 43 min 
 77  * | -1.4903 | -1.3445 | -0.6741, -1.4169, -1.3250, -0.8254,-1.6919,-1.8754,-1.7249,-1.7511 | -1.4106 |  5 hr 47 min 
 78   | -1.5014 | -1.3180 | -0.5670, -1.4185, -1.3337, -0.8305,-1.6775,-1.9200,-1.7393,-1.7148 | -1.4002 |  5 hr 52 min 
 79   | -1.5051 | -1.3316 | -0.6612, -1.4295, -1.3286, -0.7949,-1.6984,-1.9016,-1.6225,-1.6765 | -1.3891 |  5 hr 56 min 
 80   | -1.5070 | -1.3110 | -0.6541, -1.3834, -1.2872, -0.8172,-1.6452,-1.8995,-1.6565,-1.6758 | -1.3774 |  6 hr 01 min 
 81  * | -1.5128 | -1.3518 | -0.6786, -1.4335, -1.3327, -0.7747,-1.6942,-1.9282,-1.7152,-1.7336 | -1.4113 |  6 hr 05 min 
 82   | -1.5140 | -1.3241 | -0.6014, -1.4298, -1.3447, -0.7502,-1.7112,-1.9247,-1.7175,-1.6592 | -1.3923 |  6 hr 10 min 
 83  * | -1.5160 | -1.3512 | -0.6629, -1.4260, -1.3408, -0.8099,-1.6864,-1.9248,-1.7384,-1.7424 | -1.4164 |  6 hr 14 min 
 84   | -1.4971 | -1.3225 | -0.6675, -1.3970, -1.3010, -0.6933,-1.5968,-1.8489,-1.7353,-1.7112 | -1.3689 |  6 hr 18 min 
 85   | -1.4631 | -1.3264 | -0.6073, -1.4078, -1.3365, -0.8230,-1.6853,-1.9093,-1.7692,-1.7280 | -1.4083 |  6 hr 23 min 
 86   | -1.3011 | -1.3353 | -0.6822, -1.4030, -1.3140, -0.7920,-1.6518,-1.8777,-1.7009,-1.7166 | -1.3923 |  6 hr 27 min 
 87   | -1.4855 | -1.3546 | -0.7012, -1.4322, -1.3333, -0.8583,-1.6913,-1.9200,-1.6547,-1.7272 | -1.4148 |  6 hr 32 min 
 88   | -1.3721 | -1.3396 | -0.6721, -1.4199, -1.3231, -0.7795,-1.6679,-1.8717,-1.7303,-1.7064 | -1.3964 |  6 hr 36 min 
 89   | -1.5051 | -1.3609 | -0.6890, -1.4298, -1.3510, -0.7814,-1.6812,-1.9310,-1.6881,-1.7557 | -1.4134 |  6 hr 41 min 
 90  * | -1.5043 | -1.3438 | -0.6396, -1.4328, -1.3354, -0.8493,-1.7085,-1.9217,-1.7679,-1.7541 | -1.4262 |  6 hr 45 min 
 91   | -1.5151 | -1.3503 | -0.6882, -1.4189, -1.3298, -0.7030,-1.6949,-1.9072,-1.6926,-1.7502 | -1.3981 |  6 hr 50 min 
 92   | -0.8813 | -0.8387 | -0.1763, -0.9405, -0.8975, 0.0269 ,-1.1117,-1.3710,-1.1668,-1.2715 | -0.8635 |  6 hr 54 min 
