Namespace(bs=48, fold=0, gpu=3, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 0 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | -1.7629 | -1.7792 | -1.0247, -1.8558, -1.7442, -1.3102,-1.1200,-1.9003,-2.1512,-2.1735 | -1.6600 |  0 hr 04 min 
  1  * | -1.7846 | -1.7843 | -1.0319, -1.8598, -1.7481, -1.3173,-1.1260,-1.8977,-2.1429,-2.1745 | -1.6623 |  0 hr 08 min 
  2  * | -1.7917 | -1.7906 | -1.0360, -1.8682, -1.7525, -1.3045,-1.1369,-1.9060,-2.1561,-2.1832 | -1.6679 |  0 hr 13 min 
  3  * | -1.7960 | -1.7968 | -1.0433, -1.8660, -1.7625, -1.3070,-1.1278,-1.9045,-2.1651,-2.1886 | -1.6706 |  0 hr 18 min 
  4  * | -1.7997 | -1.7985 | -1.0408, -1.8774, -1.7605, -1.3457,-1.1375,-1.9129,-2.1599,-2.1828 | -1.6772 |  0 hr 22 min 
  5   | -1.8026 | -1.7969 | -1.0460, -1.8715, -1.7541, -1.3261,-1.1355,-1.9064,-2.1677,-2.1867 | -1.6743 |  0 hr 27 min 
  6   | -1.8040 | -1.7994 | -1.0407, -1.8780, -1.7572, -1.3366,-1.1200,-1.9134,-2.1712,-2.1972 | -1.6768 |  0 hr 31 min 
  7   | -1.8061 | -1.7947 | -1.0347, -1.8780, -1.7566, -1.3368,-1.1282,-1.9084,-2.1563,-2.1916 | -1.6738 |  0 hr 36 min 
  8   | -1.8074 | -1.7886 | -1.0154, -1.8773, -1.7605, -1.3245,-1.1133,-1.9164,-2.1679,-2.1769 | -1.6690 |  0 hr 40 min 
  9  * | -1.8084 | -1.8059 | -1.0483, -1.8798, -1.7659, -1.3355,-1.1327,-1.9145,-2.1647,-2.1949 | -1.6795 |  0 hr 45 min 
 10   | -1.8094 | -1.7994 | -1.0384, -1.8801, -1.7631, -1.3313,-1.1326,-1.9087,-2.1527,-2.1945 | -1.6752 |  0 hr 49 min 
