Namespace(bs=48, fold=2, gpu=5, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 2 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | -1.7874 | -1.5226 | -0.8563, -1.5760, -1.4701, -1.0517,-1.8549,-2.0656,-1.9628,-1.9031 | -1.5926 |  0 hr 04 min 
  1  * | -1.8102 | -1.5269 | -0.8563, -1.5828, -1.4767, -1.0256,-1.8618,-2.0683,-1.9712,-1.9044 | -1.5934 |  0 hr 08 min 
  2  * | -1.8166 | -1.5219 | -0.8330, -1.5843, -1.4786, -1.0569,-1.8629,-2.0692,-1.9756,-1.9085 | -1.5961 |  0 hr 13 min 
  3  * | -1.8226 | -1.5224 | -0.8352, -1.5854, -1.4772, -1.0694,-1.8623,-2.0735,-1.9804,-1.9074 | -1.5989 |  0 hr 17 min 
  4  * | -1.8264 | -1.5327 | -0.8591, -1.5881, -1.4821, -1.0529,-1.8682,-2.0718,-1.9832,-1.9096 | -1.6019 |  0 hr 22 min 
  5  * | -1.8288 | -1.5323 | -0.8582, -1.5890, -1.4804, -1.0690,-1.8665,-2.0697,-1.9804,-1.9134 | -1.6033 |  0 hr 26 min 
  6  * | -1.8302 | -1.5376 | -0.8710, -1.5890, -1.4828, -1.0812,-1.8701,-2.0740,-1.9841,-1.9132 | -1.6082 |  0 hr 31 min 
  7   | -1.8320 | -1.5306 | -0.8502, -1.5899, -1.4824, -1.0770,-1.8675,-2.0765,-1.9810,-1.9142 | -1.6048 |  0 hr 36 min 
  8   | -1.8344 | -1.5351 | -0.8632, -1.5904, -1.4821, -1.0826,-1.8638,-2.0727,-1.9877,-1.9113 | -1.6067 |  0 hr 40 min 
  9   | -1.8358 | -1.5353 | -0.8635, -1.5904, -1.4823, -1.0874,-1.8665,-2.0715,-1.9862,-1.9143 | -1.6078 |  0 hr 45 min 
 10   | -1.8371 | -1.5360 | -0.8628, -1.5918, -1.4842, -1.0749,-1.8705,-2.0783,-1.9861,-1.9131 | -1.6077 |  0 hr 49 min 
 11  * | -1.8380 | -1.5364 | -0.8628, -1.5921, -1.4840, -1.0848,-1.8735,-2.0746,-1.9872,-1.9156 | -1.6093 |  0 hr 54 min 
 12   | -1.8394 | -1.5345 | -0.8579, -1.5930, -1.4848, -1.0837,-1.8741,-2.0770,-1.9690,-1.9137 | -1.6067 |  0 hr 58 min 
 13   | -1.8357 | -1.5371 | -0.8657, -1.5924, -1.4835, -1.0841,-1.8673,-2.0735,-1.9842,-1.9137 | -1.6081 |  1 hr 03 min 
