Namespace(bs=48, fold=1, gpu=4, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 1 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | 0.1795 | -0.2062 | 0.4724 , -0.3617, -0.1801, 0.4757 ,-0.6064,-0.9671,-0.3819,-0.6089 | -0.2697 |  0 hr 04 min 
  1  * | -0.3333 | -0.2084 | 0.6110 , -0.3630, -0.3463, 0.8137 ,-0.7445,-1.0707,-0.4352,-0.7233 | -0.2823 |  0 hr 08 min 
  2  * | -0.5175 | -0.4254 | 0.3874 , -0.5758, -0.4824, 0.4804 ,-0.8973,-1.2061,-0.7211,-0.9528 | -0.4960 |  0 hr 13 min 
  3  * | -0.6494 | -0.5672 | 0.1372 , -0.6821, -0.5209, 0.0659 ,-1.0000,-1.2516,-0.8028,-0.9212 | -0.6219 |  0 hr 17 min 
  4  * | -0.7598 | -0.6239 | 0.0675 , -0.6361, -0.5776, -0.0754,-1.0720,-1.3157,-0.9476,-1.0773 | -0.7043 |  0 hr 22 min 
  5  * | -0.8371 | -0.6408 | 0.2256 , -0.7894, -0.6395, -0.1564,-1.1526,-1.3381,-0.9951,-1.1355 | -0.7476 |  0 hr 26 min 
  6  * | -0.9007 | -0.7290 | -0.0144, -0.8130, -0.6557, -0.1505,-1.1342,-1.3578,-0.9529,-1.0971 | -0.7720 |  0 hr 30 min 
  7  * | -0.9498 | -0.7717 | -0.0744, -0.8485, -0.6711, -0.2457,-1.1941,-1.4294,-0.9673,-1.1488 | -0.8224 |  0 hr 35 min 
  8  * | -0.9905 | -0.7741 | -0.0939, -0.8074, -0.6758, -0.2788,-1.2350,-1.4406,-0.9316,-1.1436 | -0.8258 |  0 hr 39 min 
  9  * | -1.0280 | -0.8247 | -0.0954, -0.8997, -0.7302, -0.3024,-1.2434,-1.4578,-1.0485,-1.2003 | -0.8722 |  0 hr 44 min 
 10  * | -1.0594 | -0.8382 | -0.0941, -0.9089, -0.7274, -0.3460,-1.2261,-1.4914,-1.0768,-1.2452 | -0.8895 |  0 hr 48 min 
 11   | -1.0873 | -0.8306 | -0.1733, -0.8309, -0.7456, -0.1108,-1.2723,-1.5064,-1.0223,-1.2273 | -0.8611 |  0 hr 53 min 
 12  * | -1.1101 | -0.8807 | -0.1632, -0.9459, -0.7638, -0.3287,-1.2847,-1.5123,-1.0516,-1.2882 | -0.9173 |  0 hr 57 min 
 13  * | -1.1354 | -0.8973 | -0.1771, -0.9490, -0.7662, -0.5049,-1.3236,-1.5042,-1.1433,-1.2977 | -0.9583 |  1 hr 01 min 
 14   | -1.1538 | -0.9078 | -0.2049, -0.9602, -0.7611, -0.3808,-1.3207,-1.5241,-1.1571,-1.3063 | -0.9519 |  1 hr 06 min 
 15   | -1.1717 | -0.8726 | -0.1365, -0.9249, -0.7763, -0.3899,-1.3114,-1.5518,-1.1714,-1.2636 | -0.9407 |  1 hr 10 min 
 16  * | -1.1895 | -0.9441 | -0.2356, -0.9886, -0.8153, -0.2879,-1.3538,-1.5743,-1.1908,-1.3352 | -0.9727 |  1 hr 15 min 
 17   | -1.2076 | -0.9135 | -0.2005, -0.9587, -0.7930, -0.4364,-1.2776,-1.5669,-1.1468,-1.2864 | -0.9583 |  1 hr 19 min 
 18  * | -1.2204 | -0.9412 | -0.2227, -0.9953, -0.8107, -0.4561,-1.3391,-1.5643,-1.1985,-1.2699 | -0.9821 |  1 hr 24 min 
 19   | -1.2361 | -0.9500 | -0.2475, -0.9867, -0.8285, -0.5449,-1.3504,-1.5840,-0.9944,-1.3054 | -0.9802 |  1 hr 28 min 
 20  * | -1.2449 | -0.9666 | -0.2445, -1.0126, -0.8324, -0.5181,-1.3779,-1.6094,-1.2102,-1.3272 | -1.0165 |  1 hr 33 min 
 21   | -1.2616 | -0.9454 | -0.1847, -1.0099, -0.8391, -0.4800,-1.3962,-1.6097,-1.2309,-1.3305 | -1.0101 |  1 hr 37 min 
 22  * | -1.2720 | -0.9983 | -0.2995, -1.0201, -0.8429, -0.5833,-1.3823,-1.5813,-1.2049,-1.3538 | -1.0335 |  1 hr 42 min 
 23  * | -1.2831 | -0.9893 | -0.2413, -1.0305, -0.8582, -0.5797,-1.3486,-1.6109,-1.2447,-1.3712 | -1.0356 |  1 hr 46 min 
 24  * | -1.2941 | -1.0165 | -0.2860, -1.0501, -0.8591, -0.4576,-1.4103,-1.6215,-1.2971,-1.4047 | -1.0483 |  1 hr 51 min 
 25   | -1.3029 | -1.0116 | -0.2782, -1.0542, -0.8687, -0.4832,-1.3793,-1.6373,-1.2285,-1.4007 | -1.0412 |  1 hr 55 min 
 26  * | -1.3147 | -1.0142 | -0.2907, -1.0301, -0.8619, -0.6194,-1.4383,-1.6512,-1.2684,-1.3789 | -1.0674 |  2 hr 00 min 
 27  * | -1.3216 | -1.0090 | -0.2539, -1.0502, -0.8716, -0.6636,-1.4149,-1.6381,-1.2730,-1.4097 | -1.0719 |  2 hr 04 min 
 28  * | -1.3330 | -1.0339 | -0.2982, -1.0671, -0.8738, -0.6844,-1.4143,-1.6488,-1.2775,-1.3911 | -1.0819 |  2 hr 09 min 
 29   | -1.3416 | -1.0061 | -0.2139, -1.0750, -0.8810, -0.4202,-1.4346,-1.6453,-1.2576,-1.4187 | -1.0433 |  2 hr 13 min 
 30   | -1.3476 | -1.0221 | -0.2450, -1.0706, -0.8863, -0.5606,-1.4312,-1.6486,-1.3067,-1.4249 | -1.0717 |  2 hr 18 min 
 31  * | -1.3565 | -1.0558 | -0.3223, -1.0745, -0.8886, -0.6317,-1.4138,-1.6810,-1.2854,-1.4289 | -1.0908 |  2 hr 22 min 
 32  * | -1.3633 | -1.0470 | -0.3037, -1.0792, -0.8908, -0.6989,-1.4269,-1.6814,-1.2618,-1.4146 | -1.0947 |  2 hr 27 min 
 33   | -1.3732 | -1.0472 | -0.3302, -1.0924, -0.8604, -0.5845,-1.4661,-1.6753,-1.2964,-1.4394 | -1.0931 |  2 hr 31 min 
 34  * | -1.3786 | -1.0524 | -0.3149, -1.0777, -0.8949, -0.6669,-1.4318,-1.6812,-1.3364,-1.3956 | -1.0999 |  2 hr 35 min 
 35   | -1.3833 | -1.0347 | -0.2817, -1.0870, -0.8918, -0.6826,-1.4131,-1.6530,-1.1820,-1.3815 | -1.0716 |  2 hr 40 min 
 36   | -1.3912 | -1.0616 | -0.3106, -1.0950, -0.9028, -0.6526,-1.4862,-1.6755,-1.2321,-1.4375 | -1.0990 |  2 hr 44 min 
 37   | -1.4003 | -1.0568 | -0.3211, -1.0850, -0.8994, -0.7063,-1.4588,-1.6481,-1.2503,-1.4246 | -1.0992 |  2 hr 49 min 
 38   | -1.4050 | -1.0531 | -0.3229, -1.1072, -0.9069, -0.4833,-1.4879,-1.6735,-1.1626,-1.3726 | -1.0646 |  2 hr 53 min 
 39  * | -1.4120 | -1.0611 | -0.3342, -1.0927, -0.8996, -0.7217,-1.4734,-1.6931,-1.3076,-1.3502 | -1.1090 |  2 hr 58 min 
 40   | -1.4179 | -1.0588 | -0.3119, -1.0929, -0.9043, -0.5690,-1.4904,-1.7010,-1.3472,-1.4175 | -1.1043 |  3 hr 02 min 
 41  * | -1.4232 | -1.0834 | -0.3282, -1.1148, -0.9082, -0.7038,-1.4585,-1.7031,-1.3267,-1.4588 | -1.1253 |  3 hr 07 min 
 42   | -1.4286 | -1.0742 | -0.3395, -1.1014, -0.9097, -0.6756,-1.4456,-1.6833,-1.3270,-1.4349 | -1.1146 |  3 hr 11 min 
 43  * | -1.4341 | -1.0912 | -0.3554, -1.1108, -0.9060, -0.7086,-1.4715,-1.6976,-1.3016,-1.4741 | -1.1282 |  3 hr 15 min 
 44  * | -1.4392 | -1.0911 | -0.3446, -1.1195, -0.9199, -0.6692,-1.4618,-1.7203,-1.3380,-1.4534 | -1.1283 |  3 hr 20 min 
 45  * | -1.4443 | -1.0893 | -0.3178, -1.1238, -0.9227, -0.6966,-1.4772,-1.7049,-1.3383,-1.4628 | -1.1305 |  3 hr 24 min 
 46  * | -1.4490 | -1.0807 | -0.2958, -1.1250, -0.9272, -0.7224,-1.4875,-1.7134,-1.3732,-1.4276 | -1.1340 |  3 hr 29 min 
 47   | -1.4543 | -1.0885 | -0.3295, -1.1348, -0.9357, -0.6118,-1.4966,-1.7140,-1.2412,-1.4341 | -1.1122 |  3 hr 33 min 
 48  * | -1.4597 | -1.0918 | -0.3617, -1.0725, -0.9206, -0.7662,-1.5080,-1.6821,-1.3764,-1.4631 | -1.1438 |  3 hr 38 min 
 49  * | -1.4635 | -1.1144 | -0.3635, -1.1236, -0.9386, -0.8065,-1.5260,-1.7058,-1.4029,-1.4460 | -1.1641 |  3 hr 42 min 
 50   | -1.4698 | -1.0950 | -0.3423, -1.1048, -0.9376, -0.7491,-1.5086,-1.7074,-1.3617,-1.4572 | -1.1461 |  3 hr 46 min 
 51   | -1.3015 | -1.0210 | -0.3019, -1.0619, -0.8663, -0.5747,-1.4192,-1.6074,-1.2712,-1.4246 | -1.0659 |  3 hr 51 min 
 52   | -1.4311 | -1.0887 | -0.3389, -1.1357, -0.9175, -0.7437,-1.5093,-1.6793,-1.3116,-1.4173 | -1.1317 |  3 hr 55 min 
 53   | -1.4750 | -1.1041 | -0.3554, -1.1272, -0.9421, -0.7092,-1.4813,-1.6833,-1.2776,-1.4727 | -1.1311 |  4 hr 00 min 
 54   | -1.4813 | -1.1058 | -0.3331, -1.1418, -0.9383, -0.7454,-1.5244,-1.7274,-1.3775,-1.4471 | -1.1544 |  4 hr 04 min 
 55   | -1.4846 | -1.1157 | -0.3640, -1.1459, -0.9397, -0.4814,-1.5201,-1.7187,-1.4126,-1.4836 | -1.1332 |  4 hr 08 min 
 56  * | -1.4890 | -1.1299 | -0.3700, -1.1550, -0.9395, -0.7612,-1.5070,-1.7390,-1.3772,-1.4932 | -1.1678 |  4 hr 13 min 
 57   | -1.4925 | -1.1099 | -0.3226, -1.1451, -0.9530, -0.7592,-1.5238,-1.7122,-1.4035,-1.4890 | -1.1636 |  4 hr 17 min 
 58  * | -1.4967 | -1.1459 | -0.3972, -1.1599, -0.9498, -0.7352,-1.5442,-1.7380,-1.4232,-1.4714 | -1.1774 |  4 hr 22 min 
 59   | -1.5020 | -1.1224 | -0.3640, -1.1344, -0.9500, -0.7771,-1.5422,-1.7355,-1.3525,-1.4945 | -1.1688 |  4 hr 26 min 
 60   | -1.5063 | -1.1217 | -0.3547, -1.1580, -0.9427, -0.8387,-1.5276,-1.7096,-1.3634,-1.4587 | -1.1692 |  4 hr 30 min 
 61   | -1.5102 | -1.1093 | -0.3033, -1.1612, -0.9549, -0.7612,-1.5014,-1.7357,-1.4088,-1.4339 | -1.1575 |  4 hr 35 min 
 62  * | -1.5130 | -1.1438 | -0.3740, -1.1611, -0.9540, -0.7875,-1.5521,-1.7396,-1.3828,-1.4962 | -1.1809 |  4 hr 39 min 
 63   | -1.5170 | -1.0812 | -0.3722, -1.0973, -0.9593, -0.0535,-1.5205,-1.7375,-1.2766,-1.4922 | -1.0636 |  4 hr 44 min 
