Namespace(bs=48, fold=4, gpu=7, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 4 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | -1.7280 | -1.7127 | -1.1095, -1.8245, -1.6834, -1.0787,-1.9498,-2.0704,-2.1732,-2.1163 | -1.7507 |  0 hr 04 min 
  1  * | -1.7494 | -1.7194 | -1.1148, -1.8301, -1.6913, -1.0632,-1.9560,-2.0766,-2.1847,-2.1198 | -1.7546 |  0 hr 08 min 
  2  * | -1.7551 | -1.7238 | -1.1183, -1.8311, -1.6938, -1.0815,-1.9597,-2.0784,-2.1934,-2.1309 | -1.7609 |  0 hr 13 min 
  3   | -1.7592 | -1.7239 | -1.1175, -1.8345, -1.6943, -1.0550,-1.9610,-2.0806,-2.1961,-2.1294 | -1.7586 |  0 hr 17 min 
  4  * | -1.7641 | -1.7300 | -1.1248, -1.8387, -1.6994, -1.0989,-1.9607,-2.0782,-2.1902,-2.1346 | -1.7657 |  0 hr 22 min 
  5   | -1.7656 | -1.7302 | -1.1316, -1.8392, -1.6992, -1.0999,-1.9557,-2.0826,-2.1618,-2.1336 | -1.7629 |  0 hr 26 min 
  6   | -1.7678 | -1.7267 | -1.1111, -1.8412, -1.6978, -1.0912,-1.9611,-2.0819,-2.2021,-2.1381 | -1.7655 |  0 hr 31 min 
  7   | -1.7696 | -1.7282 | -1.1165, -1.8404, -1.6995, -1.0816,-1.9663,-2.0875,-2.1868,-2.1388 | -1.7647 |  0 hr 35 min 
  8  * | -1.7707 | -1.7334 | -1.1282, -1.8415, -1.7029, -1.0783,-1.9621,-2.0850,-2.1984,-2.1377 | -1.7668 |  0 hr 40 min 
  9  * | -1.7728 | -1.7312 | -1.1209, -1.8401, -1.7019, -1.1142,-1.9697,-2.0871,-2.1879,-2.1330 | -1.7694 |  0 hr 44 min 
 10   | -1.7748 | -1.7345 | -1.1313, -1.8425, -1.7040, -1.0925,-1.9634,-2.0870,-2.1957,-2.1302 | -1.7683 |  0 hr 49 min 
 11   | -1.7760 | -1.7315 | -1.1248, -1.8412, -1.7031, -1.1027,-1.9608,-2.0902,-2.1996,-2.1210 | -1.7679 |  0 hr 53 min 
 12   | -1.7761 | -1.7363 | -1.1349, -1.8447, -1.7045, -1.0730,-1.9693,-2.0903,-2.1791,-2.1421 | -1.7672 |  0 hr 58 min 
 13  * | -1.7773 | -1.7316 | -1.1108, -1.8452, -1.7055, -1.1216,-1.9660,-2.0920,-2.2095,-2.1368 | -1.7734 |  1 hr 02 min 
 14   | -1.7774 | -1.7333 | -1.1296, -1.8441, -1.7029, -1.0809,-1.9596,-2.0855,-2.1871,-2.1312 | -1.7651 |  1 hr 07 min 
 15   | -1.7791 | -1.7358 | -1.1224, -1.8470, -1.7068, -1.1022,-1.9674,-2.0886,-2.2043,-2.1404 | -1.7724 |  1 hr 11 min 
 16   | -1.7796 | -1.7359 | -1.1244, -1.8467, -1.7076, -1.0907,-1.9770,-2.0946,-2.2005,-2.1406 | -1.7728 |  1 hr 16 min 
 17   | -1.7811 | -1.7313 | -1.1192, -1.8469, -1.7044, -1.0935,-1.9708,-2.0916,-2.1885,-2.1259 | -1.7676 |  1 hr 20 min 
 18   | -1.7818 | -1.7365 | -1.1248, -1.8474, -1.7070, -1.0848,-1.9755,-2.0925,-2.2015,-2.1446 | -1.7723 |  1 hr 25 min 
 19  * | -1.7821 | -1.7374 | -1.1206, -1.8484, -1.7091, -1.1234,-1.9725,-2.0954,-2.2075,-2.1404 | -1.7772 |  1 hr 29 min 
 20   | -1.7830 | -1.7398 | -1.1280, -1.8490, -1.7106, -1.0990,-1.9738,-2.0918,-2.2015,-2.1468 | -1.7751 |  1 hr 33 min 
 21   | -1.7834 | -1.7394 | -1.1369, -1.8498, -1.7015, -1.0969,-1.9719,-2.0947,-2.2005,-2.1421 | -1.7743 |  1 hr 38 min 
 22   | -1.7853 | -1.7406 | -1.1348, -1.8489, -1.7091, -1.1011,-1.9730,-2.0927,-2.1983,-2.1420 | -1.7750 |  1 hr 42 min 
 23   | -1.7853 | -1.7392 | -1.1305, -1.8475, -1.7080, -1.1083,-1.9705,-2.0942,-2.2060,-2.1451 | -1.7763 |  1 hr 47 min 
 24  * | -1.7850 | -1.7425 | -1.1346, -1.8484, -1.7089, -1.1258,-1.9774,-2.0961,-2.2107,-2.1453 | -1.7809 |  1 hr 51 min 
