Namespace(bs=48, fold=3, gpu=6, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 35   | -1.3035 | -1.3018 | -0.6427, -1.4262, -1.2757, -0.6778,-1.6451,-1.7567,-1.6806,-1.5924 | -1.3372 |  2 hr 39 min 
 36   | -1.3127 | -1.2606 | -0.5525, -1.4188, -1.2912, -0.6208,-1.6549,-1.7657,-1.4635,-1.5762 | -1.2930 |  2 hr 44 min 
 37   | -1.3174 | -1.3084 | -0.6601, -1.4196, -1.2864, -0.7172,-1.6494,-1.7719,-1.6274,-1.6083 | -1.3425 |  2 hr 48 min 
 38  * | -1.3234 | -1.3123 | -0.6474, -1.4406, -1.2971, -0.7413,-1.6471,-1.7604,-1.6311,-1.5998 | -1.3456 |  2 hr 53 min 
 39  * | -1.3277 | -1.3214 | -0.6700, -1.4424, -1.2939, -0.7703,-1.6923,-1.7853,-1.6356,-1.6098 | -1.3624 |  2 hr 57 min 
 40   | -1.3365 | -1.2939 | -0.6611, -1.4149, -1.2370, -0.7949,-1.6679,-1.7806,-1.7104,-1.5723 | -1.3549 |  3 hr 01 min 
 41   | -1.3365 | -1.3113 | -0.6534, -1.4330, -1.2991, -0.7854,-1.6818,-1.7683,-1.6331,-1.5735 | -1.3534 |  3 hr 06 min 
 42   | -1.3471 | -1.3016 | -0.6712, -1.4169, -1.2770, -0.7106,-1.6770,-1.7938,-1.6215,-1.5408 | -1.3386 |  3 hr 10 min 
 43   | -1.3532 | -1.3262 | -0.6654, -1.4643, -1.3014, -0.6962,-1.6793,-1.7604,-1.6896,-1.5852 | -1.3552 |  3 hr 15 min 
 44   | -1.3576 | -1.3316 | -0.6652, -1.4611, -1.3063, -0.4612,-1.6971,-1.7958,-1.6842,-1.6465 | -1.3397 |  3 hr 19 min 
 45   | -1.3618 | -1.3043 | -0.5828, -1.4558, -1.3073, -0.7267,-1.7061,-1.7748,-1.6518,-1.6550 | -1.3575 |  3 hr 24 min 
 46   | -1.3670 | -1.3246 | -0.6416, -1.4545, -1.3295, -0.6635,-1.6937,-1.7558,-1.5823,-1.6511 | -1.3465 |  3 hr 28 min 
 47   | -1.3747 | -1.3221 | -0.6363, -1.4587, -1.3146, -0.5879,-1.6890,-1.7721,-1.6910,-1.6126 | -1.3453 |  3 hr 32 min 
 48  * | -1.3781 | -1.3360 | -0.6677, -1.4790, -1.3106, -0.7461,-1.7127,-1.7803,-1.6169,-1.6650 | -1.3723 |  3 hr 37 min 
 49   | -1.3820 | -1.3133 | -0.5639, -1.4609, -1.3305, -0.7153,-1.6803,-1.8026,-1.7509,-1.6650 | -1.3712 |  3 hr 41 min 
 50  * | -1.3713 | -1.3562 | -0.6981, -1.4758, -1.3167, -0.7788,-1.7123,-1.8060,-1.7128,-1.6683 | -1.3961 |  3 hr 46 min 
 51   | -1.3872 | -1.3418 | -0.6637, -1.4455, -1.3282, -0.6213,-1.7075,-1.7859,-1.7397,-1.6575 | -1.3687 |  3 hr 50 min 
 52  * | -1.3936 | -1.3417 | -0.6263, -1.4874, -1.3235, -0.7851,-1.7125,-1.8182,-1.7704,-1.6737 | -1.3996 |  3 hr 54 min 
 53   | -1.4004 | -1.3339 | -0.6913, -1.4562, -1.3295, -0.7848,-1.7054,-1.8106,-1.6905,-1.4946 | -1.3704 |  3 hr 59 min 
 54   | -1.4047 | -1.3624 | -0.6817, -1.4923, -1.3441, -0.7240,-1.7290,-1.8200,-1.7085,-1.6640 | -1.3954 |  4 hr 03 min 
 55  * | -1.4078 | -1.3723 | -0.7057, -1.4821, -1.3479, -0.8250,-1.7359,-1.8211,-1.7320,-1.6717 | -1.4152 |  4 hr 08 min 
 56   | -1.4046 | -1.3607 | -0.6777, -1.4761, -1.3297, -0.8029,-1.7180,-1.8181,-1.7816,-1.6902 | -1.4118 |  4 hr 12 min 
 57   | -1.4159 | -1.3744 | -0.7215, -1.4904, -1.3515, -0.7484,-1.7470,-1.8207,-1.6943,-1.6400 | -1.4017 |  4 hr 16 min 
 58  * | -1.4203 | -1.3735 | -0.6989, -1.4702, -1.3524, -0.8238,-1.7519,-1.8131,-1.7993,-1.6841 | -1.4242 |  4 hr 21 min 
 59   | -1.4219 | -1.3841 | -0.7213, -1.4875, -1.3583, -0.8170,-1.7405,-1.8133,-1.7485,-1.6876 | -1.4218 |  4 hr 25 min 
 60   | -1.4265 | -1.3789 | -0.7098, -1.4821, -1.3546, -0.7174,-1.7477,-1.7924,-1.8066,-1.6678 | -1.4098 |  4 hr 30 min 
 61   | -1.4339 | -1.3552 | -0.6503, -1.4790, -1.3433, -0.8470,-1.7453,-1.8225,-1.7877,-1.6642 | -1.4174 |  4 hr 34 min 
 62   | -1.4331 | -1.3722 | -0.6728, -1.5082, -1.3648, -0.5370,-1.7483,-1.8234,-1.7928,-1.6441 | -1.3864 |  4 hr 38 min 
 63   | -1.4393 | -1.3725 | -0.7056, -1.4938, -1.3376, -0.8410,-1.7409,-1.8246,-1.7894,-1.6434 | -1.4220 |  4 hr 43 min 
 64   | -1.4399 | -1.3343 | -0.5695, -1.5081, -1.3397, -0.7606,-1.7332,-1.8316,-1.7795,-1.6820 | -1.4005 |  4 hr 47 min 
 65   | -1.4450 | -1.3482 | -0.5988, -1.5064, -1.3674, -0.8319,-1.7510,-1.8271,-1.7898,-1.6293 | -1.4127 |  4 hr 52 min 
 66   | -1.4514 | -1.3839 | -0.6908, -1.5205, -1.3604, -0.7458,-1.7662,-1.8240,-1.7977,-1.6860 | -1.4239 |  4 hr 56 min 
 67   | -1.4527 | -1.3745 | -0.6941, -1.4872, -1.3576, -0.7669,-1.7744,-1.8468,-1.7214,-1.6980 | -1.4183 |  5 hr 01 min 
 68  * | -1.4548 | -1.3669 | -0.6799, -1.5084, -1.3391, -0.8591,-1.7696,-1.8489,-1.7947,-1.6439 | -1.4304 |  5 hr 05 min 
 69  * | -1.4577 | -1.3928 | -0.6983, -1.5160, -1.3735, -0.7964,-1.7385,-1.8368,-1.8132,-1.7048 | -1.4347 |  5 hr 10 min 
 70  * | -1.4605 | -1.3901 | -0.7305, -1.4897, -1.3563, -0.8531,-1.7681,-1.8138,-1.7786,-1.6935 | -1.4354 |  5 hr 14 min 
 71  * | -1.4643 | -1.4041 | -0.7508, -1.5187, -1.3647, -0.8011,-1.7626,-1.8352,-1.7856,-1.6752 | -1.4367 |  5 hr 19 min 
 72  * | -1.4709 | -1.4015 | -0.7226, -1.5183, -1.3675, -0.8357,-1.7877,-1.8506,-1.8155,-1.6972 | -1.4494 |  5 hr 23 min 
 73   | -1.4720 | -1.3966 | -0.7246, -1.5186, -1.3753, -0.7424,-1.7723,-1.8404,-1.7348,-1.7013 | -1.4262 |  5 hr 27 min 
 74   | -1.4746 | -1.3977 | -0.7263, -1.5174, -1.3732, -0.7271,-1.7742,-1.8478,-1.8226,-1.6579 | -1.4308 |  5 hr 32 min 
 75   | -1.4778 | -1.3919 | -0.6754, -1.4912, -1.4006, -0.7811,-1.7339,-1.8456,-1.8128,-1.7203 | -1.4326 |  5 hr 36 min 
 76   | -1.4765 | -1.4150 | -0.7685, -1.5232, -1.3890, -0.8228,-1.7841,-1.8355,-1.6890,-1.6919 | -1.4380 |  5 hr 41 min 
 77  * | -1.4829 | -1.4244 | -0.7511, -1.5310, -1.3943, -0.8819,-1.7589,-1.8232,-1.8294,-1.7184 | -1.4610 |  5 hr 45 min 
 78   | -1.4847 | -1.4176 | -0.7748, -1.5421, -1.3633, -0.7933,-1.7909,-1.8233,-1.7678,-1.7055 | -1.4451 |  5 hr 50 min 
 79   | -1.4791 | -1.3487 | -0.6340, -1.5291, -1.3443, -0.7823,-1.8098,-1.8418,-1.6433,-1.6302 | -1.4018 |  5 hr 54 min 
 80   | -1.4897 | -1.4255 | -0.7691, -1.5398, -1.3866, -0.7097,-1.7956,-1.8615,-1.8473,-1.6852 | -1.4494 |  5 hr 58 min 
 81   | -1.4931 | -1.4148 | -0.7004, -1.5364, -1.4012, -0.7879,-1.7454,-1.8307,-1.8704,-1.7387 | -1.4514 |  6 hr 03 min 
 82   | -1.4953 | -1.4311 | -0.7595, -1.5364, -1.3956, -0.8097,-1.7466,-1.8331,-1.8626,-1.7293 | -1.4591 |  6 hr 07 min 
 83   | -1.4990 | -1.4127 | -0.7712, -1.5284, -1.3522, -0.8105,-1.7754,-1.8549,-1.8484,-1.6795 | -1.4525 |  6 hr 12 min 
 84   | -1.4998 | -1.4209 | -0.7392, -1.5356, -1.3905, -0.7123,-1.7831,-1.8188,-1.8582,-1.7126 | -1.4438 |  6 hr 16 min 
 85   | -1.4996 | -1.4177 | -0.7471, -1.5352, -1.3854, -0.8717,-1.7778,-1.8522,-1.7669,-1.7236 | -1.4575 |  6 hr 21 min 
 86   | -1.5060 | -1.4162 | -0.7337, -1.5381, -1.3940, -0.7711,-1.7807,-1.8773,-1.8028,-1.6970 | -1.4493 |  6 hr 25 min 
 87  * | -1.5095 | -1.4176 | -0.7327, -1.5338, -1.3856, -0.8657,-1.7981,-1.8632,-1.8464,-1.7107 | -1.4670 |  6 hr 29 min 
 88   | -1.5132 | -1.4158 | -0.7400, -1.5386, -1.3855, -0.8909,-1.8040,-1.8583,-1.8548,-1.6549 | -1.4659 |  6 hr 34 min 
 89  * | -1.5130 | -1.4188 | -0.7158, -1.5353, -1.4014, -0.8654,-1.7798,-1.8704,-1.8404,-1.7328 | -1.4677 |  6 hr 38 min 
 90   | -1.5152 | -1.4323 | -0.7725, -1.5473, -1.4048, -0.8251,-1.8039,-1.8661,-1.6815,-1.7435 | -1.4556 |  6 hr 43 min 
 91  * | -1.5186 | -1.4336 | -0.7625, -1.5604, -1.3845, -0.9161,-1.7770,-1.8810,-1.8580,-1.7111 | -1.4813 |  6 hr 47 min 
 92  * | -1.5211 | -1.4363 | -0.7724, -1.5369, -1.3909, -0.8891,-1.7910,-1.8832,-1.8793,-1.7297 | -1.4841 |  6 hr 51 min 
 93   | -1.5222 | -1.4343 | -0.7351, -1.5619, -1.4056, -0.9176,-1.7465,-1.8847,-1.8894,-1.7062 | -1.4809 |  6 hr 56 min 
 94   | -1.5261 | -1.4343 | -0.7534, -1.5420, -1.4149, -0.7191,-1.8205,-1.8651,-1.8457,-1.7038 | -1.4581 |  7 hr 00 min 
 95   | -1.5278 | -1.4350 | -0.7762, -1.5339, -1.3886, -0.8723,-1.8064,-1.8810,-1.8601,-1.7159 | -1.4793 |  7 hr 05 min 
 96  * | -1.5292 | -1.4443 | -0.7678, -1.5363, -1.4124, -0.9149,-1.7964,-1.8686,-1.8926,-1.7502 | -1.4924 |  7 hr 09 min 
