Namespace(bs=48, fold=4, gpu=7, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 4 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | 0.2335 | -0.1141 | 0.7735 , -0.5882, -0.3757, 0.5575 ,-0.6184,-0.8855,-0.2697,-0.5400 | -0.2433 |  0 hr 04 min 
  1  * | -0.2713 | -0.4565 | 0.4007 , -0.7391, -0.7542, 0.3335 ,-0.7279,-1.1160,-0.7738,-1.1309 | -0.5635 |  0 hr 08 min 
  2  * | -0.4474 | -0.7058 | -0.1733, -0.9069, -0.8510, 0.1657 ,-1.0361,-1.2306,-0.5305,-1.2160 | -0.7223 |  0 hr 13 min 
  3  * | -0.5836 | -0.8240 | -0.2459, -1.0206, -0.8983, 0.0141 ,-1.1540,-1.3025,-1.0270,-1.2966 | -0.8664 |  0 hr 17 min 
  4   | -0.6875 | -0.6200 | 0.3395 , -1.0338, -0.9419, -0.0060,-1.1978,-1.3630,-0.8331,-1.2960 | -0.7915 |  0 hr 22 min 
  5  * | -0.7613 | -0.8975 | -0.2232, -1.1227, -0.9908, -0.1762,-1.2447,-1.4344,-1.2421,-1.4093 | -0.9804 |  0 hr 26 min 
  6   | -0.8211 | -0.9447 | -0.4057, -1.0778, -0.9820, -0.0129,-1.2187,-1.4398,-1.1898,-1.4783 | -0.9756 |  0 hr 31 min 
  7  * | -0.8715 | -1.0217 | -0.4395, -1.1745, -1.0954, -0.1842,-1.2130,-1.4537,-1.3252,-1.4882 | -1.0467 |  0 hr 35 min 
  8   | -0.9090 | -0.9665 | -0.3997, -1.0218, -1.1164, -0.0587,-1.3576,-1.5441,-1.2362,-1.4057 | -1.0175 |  0 hr 39 min 
  9  * | -0.9452 | -1.0488 | -0.4592, -1.2100, -1.1710, -0.2893,-1.2375,-1.5717,-1.0986,-1.5731 | -1.0763 |  0 hr 44 min 
 10   | -0.9753 | -1.0690 | -0.5615, -1.1983, -1.1695, -0.0870,-1.4068,-1.5218,-1.1028,-1.5501 | -1.0747 |  0 hr 48 min 
 11  * | -0.9950 | -1.0771 | -0.4282, -1.2979, -1.1552, -0.4599,-1.4244,-1.5538,-1.2403,-1.5774 | -1.1421 |  0 hr 53 min 
 12  * | -1.0247 | -1.1519 | -0.5620, -1.2742, -1.2004, -0.3487,-1.4740,-1.6426,-1.5390,-1.6129 | -1.2067 |  0 hr 57 min 
 13   | -1.0462 | -1.1582 | -0.5825, -1.3062, -1.2152, -0.3848,-1.4522,-1.6497,-1.4626,-1.5571 | -1.2013 |  1 hr 01 min 
 14  * | -1.0657 | -1.1750 | -0.6076, -1.3191, -1.2277, -0.3540,-1.4394,-1.6563,-1.5464,-1.5201 | -1.2088 |  1 hr 06 min 
 15   | -1.0829 | -1.1586 | -0.5454, -1.2933, -1.2404, -0.3802,-1.5131,-1.6261,-1.4443,-1.6252 | -1.2085 |  1 hr 10 min 
 16  * | -1.1002 | -1.2165 | -0.6386, -1.3600, -1.2641, -0.3786,-1.5275,-1.6591,-1.5902,-1.6387 | -1.2571 |  1 hr 15 min 
 17   | -1.1158 | -1.1988 | -0.5848, -1.3582, -1.2692, -0.4440,-1.4461,-1.6786,-1.5172,-1.6692 | -1.2459 |  1 hr 19 min 
 18  * | -1.1300 | -1.2230 | -0.6128, -1.3382, -1.3044, -0.4087,-1.5604,-1.6843,-1.6287,-1.6495 | -1.2734 |  1 hr 24 min 
 19   | -1.1451 | -1.2194 | -0.5909, -1.3279, -1.2903, -0.3539,-1.5713,-1.6813,-1.6223,-1.7154 | -1.2692 |  1 hr 28 min 
 20  * | -1.1584 | -1.2276 | -0.5384, -1.4409, -1.3069, -0.5966,-1.5560,-1.6980,-1.6610,-1.6277 | -1.3032 |  1 hr 33 min 
 21   | -1.1695 | -1.2606 | -0.6939, -1.4171, -1.3078, -0.6384,-1.5314,-1.6968,-1.5067,-1.6207 | -1.3016 |  1 hr 37 min 
 22  * | -1.1830 | -1.2770 | -0.6735, -1.4390, -1.3245, -0.4332,-1.5818,-1.7015,-1.6178,-1.7381 | -1.3137 |  1 hr 41 min 
 23   | -1.1886 | -1.2831 | -0.6998, -1.4300, -1.3296, -0.3588,-1.5377,-1.7298,-1.6633,-1.7038 | -1.3066 |  1 hr 46 min 
 24  * | -1.2045 | -1.2982 | -0.6922, -1.4615, -1.3527, -0.5963,-1.5975,-1.7130,-1.5740,-1.7294 | -1.3396 |  1 hr 50 min 
 25   | -1.2122 | -1.2935 | -0.6923, -1.4535, -1.3493, -0.5706,-1.4755,-1.7427,-1.6263,-1.6864 | -1.3246 |  1 hr 55 min 
 26   | -1.2220 | -1.1818 | -0.3805, -1.4530, -1.3235, -0.3154,-1.5977,-1.7340,-1.6478,-1.7176 | -1.2712 |  1 hr 59 min 
 27   | -1.2304 | -1.2978 | -0.7341, -1.4605, -1.3523, -0.4678,-1.5831,-1.7181,-1.5454,-1.7040 | -1.3207 |  2 hr 04 min 
 28   | -1.2387 | -1.2724 | -0.6981, -1.4552, -1.3541, -0.2350,-1.6144,-1.7312,-1.4844,-1.6730 | -1.2807 |  2 hr 08 min 
