Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 35   | -1.8407 | -1.6144 | -0.9403, -1.6990, -1.5413, -1.1239,-1.9560,-2.0078,-2.1065,-1.8876 | -1.6578 |  2 hr 41 min 
 36   | -1.8406 | -1.6128 | -0.9310, -1.7008, -1.5442, -1.1149,-1.9546,-2.0111,-2.1069,-1.8904 | -1.6567 |  2 hr 45 min 
 37   | -1.8411 | -1.6063 | -0.9157, -1.7006, -1.5438, -1.0768,-1.9535,-2.0096,-2.1132,-1.8790 | -1.6490 |  2 hr 50 min 
 38  * | -1.8403 | -1.6194 | -0.9461, -1.7022, -1.5454, -1.1099,-1.9551,-2.0086,-2.1147,-1.8936 | -1.6594 |  2 hr 54 min 
 39   | -1.8421 | -1.6131 | -0.9342, -1.7012, -1.5435, -1.1110,-1.9556,-2.0102,-2.1120,-1.8808 | -1.6560 |  2 hr 59 min 
 40   | -1.8419 | -1.6176 | -0.9419, -1.7017, -1.5463, -1.1213,-1.9514,-2.0084,-2.1091,-1.8924 | -1.6591 |  3 hr 03 min 
 41   | -1.8421 | -1.6177 | -0.9413, -1.7018, -1.5463, -1.1162,-1.9487,-2.0101,-2.1136,-1.8929 | -1.6589 |  3 hr 08 min 
 42  * | -1.8420 | -1.6195 | -0.9510, -1.6996, -1.5455, -1.1211,-1.9541,-2.0103,-2.1088,-1.8881 | -1.6598 |  3 hr 12 min 
 43   | -1.8437 | -1.6111 | -0.9223, -1.7024, -1.5441, -1.1182,-1.9491,-2.0085,-2.1145,-1.8928 | -1.6565 |  3 hr 16 min 
 44   | -1.8435 | -1.6192 | -0.9449, -1.7019, -1.5475, -1.1094,-1.9543,-2.0109,-2.1137,-1.8913 | -1.6592 |  3 hr 21 min 
 45   | -1.8438 | -1.6152 | -0.9332, -1.7032, -1.5449, -1.1194,-1.9564,-2.0097,-2.1162,-1.8935 | -1.6596 |  3 hr 25 min 
 46   | -1.8434 | -1.6096 | -0.9254, -1.6994, -1.5445, -1.1010,-1.9546,-2.0085,-2.0942,-1.8886 | -1.6520 |  3 hr 30 min 
 47   | -1.8460 | -1.6135 | -0.9266, -1.7027, -1.5458, -1.1216,-1.9563,-2.0110,-2.1183,-1.8904 | -1.6591 |  3 hr 34 min 
 48   | -1.8453 | -1.6177 | -0.9403, -1.7028, -1.5470, -1.1063,-1.9577,-2.0085,-2.1114,-1.8914 | -1.6582 |  3 hr 39 min 
 49   | -1.8461 | -1.6098 | -0.9207, -1.7011, -1.5466, -1.1203,-1.9564,-2.0071,-2.1031,-1.8882 | -1.6554 |  3 hr 43 min 
 50   | -1.8450 | -1.6164 | -0.9390, -1.7029, -1.5450, -1.0966,-1.9541,-2.0086,-2.1088,-1.8937 | -1.6561 |  3 hr 48 min 
 51   | -1.8465 | -1.6134 | -0.9360, -1.7005, -1.5444, -1.1001,-1.9574,-2.0130,-2.1101,-1.8790 | -1.6550 |  3 hr 52 min 
 52   | -1.8472 | -1.6138 | -0.9267, -1.7035, -1.5465, -1.1204,-1.9539,-2.0104,-2.1166,-1.8923 | -1.6588 |  3 hr 57 min 
 53   | -1.8461 | -1.6140 | -0.9363, -1.6990, -1.5431, -1.1068,-1.9550,-2.0123,-2.1117,-1.8878 | -1.6565 |  4 hr 01 min 
 54  * | -1.8475 | -1.6183 | -0.9425, -1.7016, -1.5454, -1.1246,-1.9548,-2.0092,-2.1149,-1.8931 | -1.6608 |  4 hr 05 min 
 55   | -1.8478 | -1.6189 | -0.9435, -1.7031, -1.5459, -1.1143,-1.9567,-2.0107,-2.1139,-1.8930 | -1.6601 |  4 hr 10 min 
 56   | -1.8489 | -1.6142 | -0.9325, -1.7003, -1.5466, -1.1268,-1.9556,-2.0120,-2.1050,-1.8918 | -1.6588 |  4 hr 14 min 
 57   | -1.8478 | -1.6199 | -0.9485, -1.7023, -1.5451, -1.1084,-1.9570,-2.0097,-2.1129,-1.8928 | -1.6596 |  4 hr 19 min 
 58   | -1.8493 | -1.6121 | -0.9251, -1.7009, -1.5448, -1.1304,-1.9576,-2.0125,-2.1211,-1.8902 | -1.6603 |  4 hr 23 min 
 59   | -1.8508 | -1.6164 | -0.9394, -1.7001, -1.5456, -1.1105,-1.9587,-2.0093,-2.1105,-1.8889 | -1.6579 |  4 hr 27 min 
 60   | -1.8493 | -1.6159 | -0.9396, -1.7013, -1.5460, -1.1315,-1.9548,-2.0094,-2.1048,-1.8849 | -1.6590 |  4 hr 32 min 
