Namespace(bs=48, fold=0, gpu=3, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 0 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | 0.2165 | -0.3001 | 0.4830 , -0.5937, -0.4761, 0.3096 ,-0.6934,-1.0106,-0.4242,-0.6928 | -0.3873 |  0 hr 04 min 
  1  * | -0.2904 | -0.4797 | 0.1015 , -0.4406, -0.7056, 0.5236 ,-0.6676,-1.1581,-0.6884,-0.8129 | -0.4810 |  0 hr 08 min 
  2  * | -0.4717 | -0.7193 | -0.0180, -0.9028, -0.8631, 0.0224 ,-0.7924,-1.2693,-0.7944,-1.1408 | -0.7198 |  0 hr 13 min 
  3  * | -0.5968 | -0.8176 | -0.1114, -0.9636, -0.9326, -0.0514,-0.7489,-1.3005,-1.1210,-1.2851 | -0.8143 |  0 hr 17 min 
  4   | -0.7039 | -0.7429 | 0.0993 , -0.8682, -0.9932, 0.1961 ,-0.7722,-1.3987,-1.1229,-1.3958 | -0.7820 |  0 hr 22 min 
  5  * | -0.7765 | -0.9271 | -0.2305, -1.1157, -1.0548, 0.1395 ,-0.8401,-1.4337,-1.1771,-1.3256 | -0.8798 |  0 hr 26 min 
  6  * | -0.8355 | -0.9464 | -0.3224, -1.0430, -1.0364, -0.3357,-0.8864,-1.4890,-1.1535,-1.2763 | -0.9429 |  0 hr 31 min 
  7  * | -0.8844 | -1.0010 | -0.2596, -1.2079, -1.1010, -0.1969,-0.7896,-1.5208,-1.1893,-1.4794 | -0.9681 |  0 hr 35 min 
  8  * | -0.9207 | -1.0265 | -0.2364, -1.2452, -1.1480, -0.4825,-0.9351,-1.5330,-1.1592,-1.5342 | -1.0342 |  0 hr 40 min 
  9   | -0.9559 | -1.0590 | -0.3455, -1.2696, -1.1053, -0.4575,-0.8610,-1.5364,-1.2086,-1.4823 | -1.0333 |  0 hr 44 min 
 10  * | -0.9863 | -1.0810 | -0.3577, -1.2251, -1.1937, -0.3225,-0.9033,-1.5818,-1.3060,-1.5121 | -1.0503 |  0 hr 49 min 
 11  * | -1.0142 | -1.1285 | -0.4169, -1.3041, -1.2048, -0.2727,-0.9833,-1.5975,-1.3437,-1.5696 | -1.0866 |  0 hr 53 min 
 12  * | -1.0355 | -1.1870 | -0.5172, -1.3329, -1.2458, -0.3470,-0.9019,-1.6173,-1.3399,-1.6387 | -1.1176 |  0 hr 58 min 
 13  * | -1.0535 | -1.1945 | -0.4877, -1.3377, -1.2535, -0.5887,-0.9520,-1.6125,-1.4529,-1.5884 | -1.1592 |  1 hr 02 min 
 14  * | -1.0757 | -1.2208 | -0.5390, -1.3827, -1.2392, -0.6069,-0.9977,-1.6388,-1.3958,-1.6469 | -1.1809 |  1 hr 07 min 
 15   | -1.0933 | -1.2132 | -0.5385, -1.3460, -1.2678, -0.6379,-0.9505,-1.6314,-1.4940,-1.5750 | -1.1801 |  1 hr 11 min 
 16  * | -1.1092 | -1.2359 | -0.5498, -1.3650, -1.2590, -0.6307,-1.0351,-1.6505,-1.4579,-1.6641 | -1.2015 |  1 hr 16 min 
