Namespace(bs=48, fold=1, gpu=4, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 1 ~~~~~~~~~~~~
raw train:68002 -- raw val:17001
train:68002 --- val:17001
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | -1.8385 | -1.3243 | -0.5435, -1.2824, -1.0587, -1.0352,-1.6852,-1.8680,-1.6204,-1.6316 | -1.3406 |  0 hr 04 min 
  1  * | -1.8609 | -1.3289 | -0.5454, -1.2860, -1.0603, -1.0646,-1.6921,-1.8741,-1.6316,-1.6350 | -1.3486 |  0 hr 08 min 
  2  * | -1.8691 | -1.3309 | -0.5465, -1.2869, -1.0621, -1.0674,-1.6933,-1.8740,-1.6384,-1.6368 | -1.3507 |  0 hr 13 min 
  3  * | -1.8741 | -1.3313 | -0.5443, -1.2895, -1.0638, -1.0697,-1.6931,-1.8752,-1.6395,-1.6345 | -1.3512 |  0 hr 17 min 
  4   | -1.8773 | -1.3338 | -0.5507, -1.2888, -1.0631, -1.0583,-1.6925,-1.8765,-1.6381,-1.6383 | -1.3508 |  0 hr 22 min 
  5  * | -1.8802 | -1.3330 | -0.5466, -1.2894, -1.0633, -1.0850,-1.6973,-1.8754,-1.6228,-1.6390 | -1.3523 |  0 hr 26 min 
  6  * | -1.8828 | -1.3344 | -0.5481, -1.2906, -1.0642, -1.0816,-1.6991,-1.8771,-1.6377,-1.6401 | -1.3548 |  0 hr 31 min 
  7  * | -1.8844 | -1.3355 | -0.5516, -1.2906, -1.0636, -1.0879,-1.6994,-1.8776,-1.6376,-1.6401 | -1.3561 |  0 hr 35 min 
  8   | -1.8853 | -1.3325 | -0.5443, -1.2918, -1.0646, -1.0676,-1.6985,-1.8779,-1.6308,-1.6394 | -1.3519 |  0 hr 40 min 
  9  * | -1.8864 | -1.3368 | -0.5510, -1.2899, -1.0634, -1.0878,-1.7008,-1.8769,-1.6458,-1.6385 | -1.3568 |  0 hr 44 min 
 10   | -1.8883 | -1.3382 | -0.5523, -1.2908, -1.0660, -1.0889,-1.7019,-1.8798,-1.6338,-1.6392 | -1.3566 |  0 hr 49 min 
 11  * | -1.8900 | -1.3398 | -0.5556, -1.2922, -1.0658, -1.0764,-1.7020,-1.8803,-1.6438,-1.6407 | -1.3571 |  0 hr 53 min 
